Stock #,RapNet Lot #,Publish,Availability,Item Title,Description,Type,Style,Category,Condition,Shipping from,Price,Currency,Terms,MSRP,Available for Memo,No. Items in Stock,Minimum order,Free Worldwide Shipping,Delivery Time,Delivery Location,Delivery Location Price,Delivery Location Currency,Delivery Location Terms,Delivery Location MSRP,Delivery Location Time,Ring Size,Keywords,Brand,Designer,Jewelry Quality,Setting,Jewelry Weight,Metal Type,Metal Karat,Measurements,Jewelry Lab Name,Jewelry Lab Report,Gemstone Type,Gemstone Shape,Gemstone carat,Gemstone Description,Gemstone Lab,Gem Lab Report #,Gemstone Measurements,Gemstone Quantity,Gemstone Treatment,Gemstone Treatment Type,Gemstone Comment,Gemstone Synthetic,Supplier Comment,Manufacture Date,Availability comment,Image Type,Image File Name,Image Title,URL Type,URL Title,URL Link,Document Type,Document Filename,Document title
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Marquise,0.9,,None,,,9,,,,no,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emerald,Pear,3.43,,Other,,,1,,Oiled,,no,,,,,,,,,,,,
HJERG202,393238,yes,yes,Aquamarine & Diamond Earrings in 18K,"2pcs Diamond Cut SM Aquamarines 0.96Cts,                  
42pcs Round Brilliant Diamonds 0.39Cts,
Blue Enamel
18K 7.67gms
",Earrings,Stud,"New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Set, Engagement",New,Hong Kong,1900,USD,"Cash Advance, COD, Credit If Approved",2000,no,1,1,no,2,,,,,,,,"Diamond, Earrings, Handmade, Aquamarine,  Round, Jewellery, Jewels,Designer",,VN Diamonds,"Fine, Promotional",,7.94,White Gold,18K,,,,,,,,,,,,,,,,"Aquamarine & Diamond Earrings in 18K
2pcs Diamond Cut SM Aquamarines 0.96Cts,                  
42pcs Round Brilliant Diamonds 0.39Cts,
Blue Enamel
18K 7.67gms",,,,KellettBall36.jpg,Aquamarine Diamond & Enamel Earrings,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
HJERG299,441474,yes,yes,Sleeping Beauty Turquoise Earrings in 18K with Diamonds & Sapphires,"72pcs Round Brilliant Diamonds 0.67Cts,                         
2pcs Oval Shape SB Turquoise 11.44Cts,                                 
68pcs Round Diamond Cut Sapphires 0.86Cts,
18K 4.49gms
",Earrings,Stud,"New, Engagement, Bridal, Woman's, Art Deco, Fashion Jewelry, Designer Jewelry, Youth",New,Hong Kong,4000,USD,"Cash Advance, COD",4500,no,1,1,no,2,,,,,,,,"VNDiamonds, Earrings, Turquoise , Earrings, handmade, Design, Designer",,HAR��NE JE,"Luxury, Fine",,7.02,White Gold,18K,,,,Turquoise,Oval,11.44,,None,,,2,,,,no,"Sleeping Beauty Turquoise Earrings in 18K with Diamonds & Sapphires
72pcs Round Brilliant Diamonds 0.67Cts,                         
2pcs Oval Shape SB Turquoise 11.44Cts,                                 
68pcs Round Diamond Cut Sapphires 0.86Cts,
18K 4.49gms
",,,,11.44Cts SBT Earrings with Diamonds & Sapphires.jpg,,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Round,0.67,,None,,,77,,,,no,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sapphire,Round,0.86,,None,,,68,,Heat Treated,,no,,,,,,,,,,,,
HJBRCT158,441599,yes,yes,Multi Color No Heat Sapphire Bracelet in 18K,"22pcs No Heat Pear Shape Sapphires 18.54Cts,     
22pcs Round Brilliant Diamonds 0.32Cts,
18K 8.13gms
",Bracelets,Tennis,"New, Engagement, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth",New,Hong Kong,13200,USD,"Cash Advance, COD",15000,no,1,1,no,2,,,,,,,,"VNDiamonds, Bracelet, Handmade, Designer, Gems, Gemstones",,HAR��NE JE,"Investment, Luxury, Fine",,11.9,"White Gold, Yellow Gold",18K,,,,Diamond,Round,0.32,,None,,,22,,,,no,"Multi Color No Heat Sapphire Bracelet in 18K
22pcs No Heat Pear Shape Sapphires 18.54Cts,     
22pcs Round Brilliant Diamonds 0.32Cts,
18K 8.13gms",,,,Multi Color Sapphire Bracelet.jpg,,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sapphire,Pear,18.54,,Other,,,22,,,,no,,,,,,,,,,,,
HJBRCT157,441600,yes,yes,Designer Zambian Emerald Bracelet in 18K,"20pcs Zambian Emerald Oval Shape 7.93Cts,               
760pcs Round Brilliant Diamonds 3.20Cts,
18K 19.34gms
",Bracelets,Tennis,"New, Engagement, Woman's, Fashion Jewelry, Designer Jewelry, Youth",New,Hong Kong,13000,USD,"Cash Advance, COD",14000,no,1,1,no,2,,,,,,,,"VNDiamonds, Bracelet, Handmade, Designer, Gems, Gemstones",,HAR��NE JE,"Luxury, Fine",,21.57,"Yellow Gold, White Gold",18K,,,,Diamond,Round,3.2,,None,,,760,,,,no,"Designer Zambian Emerald Bracelet in 18K
20pcs Zambian Emerald Oval Shape 7.93Cts,               
760pcs Round Brilliant Diamonds 3.20Cts,
18K 19.34gms",,,,Emerald Bracelet I.jpg,,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emerald,Oval,7.93,,None,,,20,,,,no,,,,,,,,,,,,
HJDDRD4160,338058,yes,yes,1.06Cts Fancy Deep Yellow-Green VVS1 Radiant Ring,"1.06Cts Natural Fancy Deep Yellow-Green VVS1 EX VG F GIA Radiant
Set with Rosecut Triangle Diamonds & Round Brilliant Color Diamonds 
18K White Handmade Ring",Rings,"Engagement Ring, Bridal, Solitaire, Halo, Fashion, Cluster, Cocktail, Women","New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth",New,Hong Kong,21700,USD,"Cash Advance, COD",25000,yes,1,1,no,3,,,,,,,,"Diamonds, Heart, HeartShape, Earrings, Studs, Luxury, Partywear, Redcarpet",,VN Diamonds,"Investment, Luxury, Fine",,4.55,White Gold,18K,7.80x8.50,,,Diamond - Fancy Color,Radiant,1.06,,GIA,1378061544,,1,,,,no,Beautiful Handmade Ring with GIA Certified Natural Fancy Deep Yellow-Green VVS1 Color Diamond with Rosecut Triangle & Round Brilliant Diamonds in 18K White Gold ,,,,1.06Cts Fancy Deep Yellow-Green VVS1 GIA Radiant Ring.jpg,Natural Fancy Color Diamond Ring,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
HJRNG316,444382,yes,yes,Jedi Spinel Ring in 18K,"1pc CU Vivid Pink Tanzania Jedi Spinel 2.34Cts,                                
2pcs Triangle Diamonds 0.32Cts,
18K 3.21gms
",Rings,"Engagement Ring, Bridal, Three Stone, Simple Band, Fashion, Cocktail, Women","New, Engagement, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth",New,Hong Kong,9000,USD,"Cash Advance, COD",10000,no,,,no,,,,,,,,,"VNDiamonds, Ring, Design, Designer, Diamond, Certified, Jewellery",,HAR��NE JE,"Luxury, Fine",,3.74,White Gold,18K,,,,Spinel,Oval,2.34,,Other,,,1,,,,no,"1pc CU Vivid Pink Tanzania Jedi Spinel 2.34Cts,                                
2pcs Triangle Diamonds 0.32Cts,
18K 3.21gms",,,,,,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",Grading Report,2.34Cts Tanzania Exceptional Jedi Spinel Vibrant Brilliance Vivid Pink Exceptional Strong Red Guild Oval 511677399.pdf,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Trilliant,0.32,,None,,,2,,,,no,,,,,,,,,,,,
HJBRCH106,345618,yes,yes,Sleeping Beauty Turquoise Owl Bird Brooch in 18K with Diamonds,"1pc SBTurquoise Round 16.90Cts,               
2pcs Round Sapphire Cabs 0.29Cts,                    
58pcs Fancy Color Round Dia 0.87Cts
18K Gold with Color Plating 14.59gms GW",Brooches & Pins,,"New, Bridal, Woman's, Men's, Estate, Vintage, Art Deco, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,5400,USD,"Cash Advance, COD",6500,no,1,1,no,3,,,,,,,,"Brooch, Pins, Pendents, SBT, Turquoise, Handmade Jewellery, Jewellery, Designer",,VN Diamonds,"Investment, Luxury, Fine",,14.59,Gold,18K,44x20,,,Turquoise,Oval,16.9,,None,,,1,,,,no,"Handmade Jewellery in 18K Gold
Brooch cum Pendent 14.59gms GW
1pc SBTurquoise Round 16.90Cts,               
2pcs Round Sapphire Cabs 0.29Cts,                    
58pcs Fancy Color Round Dia 0.87Cts

",,,,Own Brooch High.jpeg,Sleepig Beauty Turquoise Brooch Own Bird,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
HJBRCH126,444410,yes,yes,Pixie - Brooch made in 18K,"44pcs Round Brilliant Diamonds 1.44Cts,                   
31pcs Round Brilliant Emeralds 0.49Cts,                      
5pcs Round Brilliant Rubies 0.10Cts,                                 
23pcs Round Rosecut Diamonds 2.37Cts,
18K 11.35gms
",Brooches & Pins,,"New, Engagement, Bridal, Woman's, Men's, Art Deco, Designer Jewelry, Youth",New,Hong Kong,9600,USD,"Cash Advance, COD",10500,no,1,1,no,2,,,,,,,,"Brooch, Pins, Pendents, SBT, Turquoise, Handmade Jewellery, Jewellery, Designer",,HAR��NE JE,"Investment, Luxury, Fine",,12.23,White Gold,18K,,,,Diamond,Rose,2.37,,None,,,23,,,,no,"Pixie - Brooch made in 18K
44pcs Round Brilliant Diamonds 1.44Cts,                   
31pcs Round Brilliant Emeralds 0.49Cts,                      
5pcs Round Brilliant Rubies 0.10Cts,                                 
23pcs Round Rosecut Diamonds 2.37Cts,
18K 11.35gms",,,,Pixie Brooch II.jpg,,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Round,1.44,,None,,,44,,,,no,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emerald,Round,0.49,,None,,,31,,Oiled,,no,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruby,Round,0.1,,None,,,5,,Heat Treated,,no,,,,,,,,,,,,
HJERG162,444766,yes,yes,Rose Quartz & DIamond Earrings in 18K,"2pcs Rose Quartz Cabs 14.64Cts,                   
70pcs Round Brilliant Diamonds 0.56Cts,
18K 5.40gms
",Earrings,Stud,"New, Engagement, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth",New,Hong Kong,1500,USD,"Cash Advance, COD",1800,no,1,1,no,3,,,,,,,,"VNDiamonds, Earrings, Design, Designer, Handmade, Gemstones",,HAR��NE JE,"Luxury, Fine",,8.44,White Gold,18K,,,,Quartz,Cushion,14.64,,,,,2,,,,no,"2pcs Rose Quartz Cabs 14.64Cts,                   
70pcs Round Brilliant Diamonds 0.56Cts,
18K 5.40gms",,,,Rose Quartz Cabs Earrings.jpg,,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Round,0.56,,None,,,70,,,,no,,,,,VNERG162.jpg,,,,,,,
HJNKL126,405634,yes,yes,Star Diamond Necklace in 18K,"- 8 round rosecut diamonds (0.35 cts total)
- 25 star-shaped piecut diamonds (0.98 cts total)
- 18K white gold, 4.21 gms
- Adjustable lobster clasp with extender chain for a flawless fit

",Necklaces,"Riviera, Other Link","New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,2760,USD,"Cash Advance, COD",3000,no,1,1,no,2,,,,,,,,"VNDiamonds, Necklace, Diamond, Design, Designer, Jewelry, Jewel, Handmade",,VN Diamonds,"Luxury, Fine",,4.48,White Gold,18K,,,,Diamond,Kite,0.98,,None,,,25,,,,no,"Elevate every moment with a constellation you can wear. This whimsical necklace marries artisanal craftsmanship with celestial charm���perfect for day-to-day sparkle or a starlit soir��e.
- 8 round rosecut diamonds (0.35 cts total)
- 25 star-shaped piecut diamonds (0.98 cts total)
- 18K white gold, 4.21 gms
- Adjustable lobster clasp with extender chain for a f",,,,,,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Rose,0.35,,None,,,8,,,,no,,,,,,,,,,,,
HJBRCH134,444780,yes,yes,Cupid's Arrow - Designer Lapel Pin in 18K,"1pc Fancy Yellow Shield Shape Dia 1.25Cts,                            
1pc Fancy Orangy Brown Tapper Dia 0.584Cts,                         
1pc Fancy Brown Sq. Radiant 0.40Cts,                                    
1pc Fancy Yellow Triangle Diamond 0.20Cts,                                   
32pcs Baguette Cut Diamonds 2.242Cts,                           
15pcs Fancy Yellow Round Diamonds 0.24Cts,
18K 7.18gms
",Brooches & Pins,,"New, Engagement, Bridal, Woman's, Men's, Fashion Jewelry, Designer Jewelry, Youth, Art Deco",New,Hong Kong,14000,USD,"Cash Advance, COD",16000,no,1,1,no,3,,,,,,,,"VNDiamonds, Brooch, Pin, LapelPin, Handmade, Design, Designer, Luxury",,,"Investment, Luxury, Fine",,8.22,"Yellow Gold, White Gold",18K,,,,Diamond - Fancy Color,Pentagonal,1.25,,None,,,1,,,,no,"Cupid's Arrow - Designer Lapel Pin in 18K
1pc Fancy Yellow Shield Shape Dia 1.25Cts,                            
1pc Fancy Orangy Brown Tapper Dia 0.584Cts,                         
1pc Fancy Brown Sq. Radiant 0.40Cts,                                    
1pc Fancy Yellow Triangle Diamond 0.20Cts,                                   
32pcs Baguette Cut Diamonds 2.242Cts,                           
15pcs Fancy Yellow Round Diamonds 0.24Cts,
18K 7.18gms",,,,Cupid's Arrow 7.jpeg,,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond - Fancy Color,Tapered Baguette,0.584,,None,,,1,,,,no,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond - Fancy Color,Radiant,0.4,,None,,,1,,,,no,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond - Fancy Color,Trilliant,0.2,,None,,,1,,,,no,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Tapered Baguette,2.24,,None,,,32,,,,no,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond - Fancy Color,Round,0.24,,None,,,15,,,,no,,,,,,,,,,,,
HJRNG302,405282,yes,yes,0.78Cts Old Mine Cut Pear Shape set with Chalcedony in 18K ,"1pc D VS2 Pear Shape Diamond GIA PS 0.78Cts,    
1pc Pear Shape Chalcedony 31.94Cts,                               
266pcs Round Brilliant Diamonds 0.63Cts,
18K 8.00gms
",Rings,"Engagement Ring, Bridal, Solitaire, Fashion, Cluster, Cocktail, Women","New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,6000,USD,"Cash Advance, COD",7000,no,1,1,no,2,,,,,,,,"VNDiamonds, Ring, Design, Designer, Diamond, Certified, Jewellery",,VN Diamonds,"Investment, Luxury, Fine",,14.67,White Gold,18K,,,,Diamond,Round,0.63,,None,,,266,,,,no,"0.78Cts Old Mine Cut Pear Shape set with Chalcedony in 18K 
1pc D VS2 Pear Shape Diamond GIA PS 0.78Cts,    
1pc Pear Shape Chalcedony 31.94Cts,                               
266pcs Round Brilliant Diamonds 0.63Cts,
18K 8.00gms",,,,0.78Cts D VS2 GIA PS with Chalcedony Ring II.jpg,0.78Cts D VS2 GIA Old Mine Pear Shape Diamond Ring,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",Grading Report,0.78Cts D VS2 VG VG F GIA PB  2514235107.pdf,0.78Cts D VS2 GIA Old Mine Pear Shape Diamond Ring
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Pear,0.78,,GIA,,,1,,,,no,,,,,0.78Cts D VS2 GIA PS with Chalcedony Ring I.jpg,0.78Cts D VS2 GIA Old Mine Pear Shape Diamond Ring,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Pear,31.94,,None,,,1,,,,no,,,,,,,,,,,,
HJCUF106,405273,yes,yes,Sleeping Beauty Turquoise Cufflinks in 18K,"2pcs Cushion Shape Turquoise 6.51Cts,                            
60pcs Round Brilliant Diamonds 0.34Cts
18K 4.11gms
",Cuff Links,,"New, Bridal, Woman's, Men's, Art Deco, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,1500,USD,"Cash Advance, COD",1700,no,1,1,no,2,,,,,,,,"SBT, Turquoise, Cufflinks, Handmade, Style, Men, Jewellery, Jewelry",,VN Diamonds,"Luxury, Fine, Investment",,5.48,White Gold,18K,,,,Turquoise,Cushion,6.51,,None,,,2,,,,no,"Sleeping Beauty Turquoise Cufflinks in 18K
2pcs Cushion Shape Turquoise 6.51Cts,                            
60pcs Round Brilliant Diamonds 0.34Cts
18K 4.11gms
",,,,6.51Cts Cushion Shape Cufflinks II.jpg,6.51Cts Turquoise Cushion Shape Cufflinks,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Round,0.34,,None,,,60,,,,no,,,,,,,,,,,,
HJRNG261,391862,yes,yes,Natural Burma No Heat Vivid Red Pigeon's Blood Ruby Ring,"2.09Cts Burma NH Vivid Red PB GRS CU,                       
2pcs Triangle Shape Diamonds 0.41Cts,
18K NW 3.01gms GW 3.51gms
",Rings,"Engagement Ring, Bridal, Side Stones, Three Stone, Estate, Women","New, Bridal, Woman's, Art Deco, Designer Jewelry, Youth",,Hong Kong,38000,USD,COD,40000,no,1,1,yes,3,,,,,,,7,"Ruby Ring, Burma Ruby, Vivid Red, Investment Grade",,VN Diamonds,"Investment, Luxury, Fine",,3.01,"Yellow Gold, White Gold",18K,,,,Diamond,Half Moon,0.41,,None,,,2,,,,no,2.09Cts Natural Burma No Heat Vivid Red Pigeon's Blood GRS Certified Ruby Ring. Handmade Ring set with Triangle Diamonds in 18K White & Yellow Gold,,,,2.09Cts Burma NH PB GRS.jpg,Natural Burma Ruby ,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",Grading Report,2.09Cts Burma No Heat Vivid Red Pigeon's Blood GRS Cushion.pdf,Natural Burma Ruby 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruby,Cushion,2.09,,Other,,,1,,,,no,,,,,,,,,,,,
HJRNG199,392557,yes,yes,4.56Cts Sapphire Cab Ring with Rosecut Diamonds in 18K,"4.56Cts Africa H(1) Vivid Blue Guild Cab,                                      
8pcs Round Rosecut Dia 0.675Cts,                     
8pcs Tapper Diamonds 0.232Cts,                          
10pcs Round Diamonds 0.06Cts,                        
9pcs Round Diamonds 0.12Cts,
18K 5.501gms
",Rings,"Engagement Ring, Bridal, Halo, Cluster, Cocktail, Women","New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,5000,USD,"Cash Advance, COD",5500,no,1,1,no,3,,,,,,,7,"Sapphire, Gems, Gemstones, Corundum, Jewels, Jewellery, Handmade, Designer",,VN Diamonds,"Fine, Promotional",,6.63,White Gold,18K,,,,Diamond,Round,0.12,,None,,,9,no,,,no,"4.56Cts Sapphire Cab Ring with Rosecut Diamonds hand crafted in 18K 
4.56Cts Africa H(1) Vivid Blue Guild Cab,                                      
8pcs Round Rosecut Dia 0.675Cts,                     
8pcs Tapper Diamonds 0.232Cts,                          
10pcs Round Diamonds 0.06Cts,                        
9pcs Round Diamonds 0.12Cts,
18K 5.501gms",,,,4.56Cts Sapphire Cab Ring.jpg,4.56Cts African Sappire Cab Ring,,,,Grading Report,4.56Cts Africa Heat Vivid Blue Guild Oval Cabochon.pdf,4.56Cts
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Tapered Baguette,0.06,,None,,,10,no,,,no,,,,,4Cts Sapphire Cab Side view.jpg,4.56Cts Sapphe Cab,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Round,0.675,,None,,,10,no,,,no,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sapphire,Oval,4.56,,Other,,,1,,Heat Treated,,no,,,,,,,,,,,,
HJCUF104,391984,yes,yes,Diamond & Ruby Cufflinks in 18K Gold,"9pcs PieCut Emerald Cut Diamond 0.492Cts,       
9pcs PieCut Emerald Cut Diamond 0.504Cts,                  
40pcs Princess Cut Ruby 4.79Cts,
18K 6.93gms
",Cuff Links,,"New, Bridal, Woman's, Men's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,4000,USD,"Cash Advance, COD",4800,no,1,1,no,3,,,,,,,,"Diamond, Cufflinks, Ruby, Gemstone, Diamond Jewellery, Jewellery, Jewelery",,VN Diamonds,"Luxury, Fine",,8.09,White Gold,18K,,,,,,,,,,,,,,,,"9pcs PieCut Emerald Cut Diamond 0.492Cts,       
9pcs PieCut Emerald Cut Diamond 0.504Cts,                  
40pcs Princess Cut Ruby 4.79Cts,
18K 6.93gms",,,,WhatsApp Image 2025-01-22 at 18.23.30_f690dd92.jpg,PieCut Diamond & Ruby Cufflink,LandingPage,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20","https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WhatsApp Image 2025-01-22 at 18.23.34_06a264fe.jpg,Diamond & Ruby Cufflinks,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WhatsApp Image 2025-01-22 at 18.23.34_ab9ac9f2.jpg,Illusion Diamond & Ruby Cufflinks,,,,,,
HJRNG325,440786,yes,yes,0.70Cts Fancy Deep Brownish Yellowish Orange GIA Certified Diamond Ring,"0.70Cts Fancy Dp. Br. Yellowish Orange SI1 GIA,                 
GIA 7398089869                                                                         
16pcs Rosecut Diamonds 1.11Cts,                                                  
28pcs Round Brilliant 0.42Cts,
18K 5.04gms
",Rings,"Engagement Ring, Bridal, Solitaire, Halo, Fashion, Cluster, Cocktail, Women","New, Engagement, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth",New,Hong Kong,6000,USD,"Cash Advance, COD",7000,no,1,1,no,,,,,,,,7,"Ring, Diamond, Color, FancyColor, Orange, Designer, Handmade",,HAR��NE JE,"Investment, Luxury, Fine",,5.36,"Yellow Gold, White Gold",18K,,,,Diamond,Round,0.42,,None,,,28,,,,no,"0.70Cts Fancy Deep Brownish Yellowish Orange GIA Certified Diamond Ring
0.70Cts Fancy Dp. Br. Yellowish Orange SI1 GIA,                 
GIA 7398089869                                                                         
16pcs Rosecut Diamonds 1.11Cts,                                                  
28pcs Round Brilliant 0.42Cts,
18K 5.04gms",,,,0.70Cts FDBYO GIA Round Brilliant Ring.jpg,0.70Cts Natural Fancy Deep Brownish YellowishOrange GIA Cert Ring,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",Grading Report,0.70Cts Natural Fancy Deep Brownish Yellowish-Orange SI1 EX EX N GIA RB 7398089869.pdf,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Rose,1.11,,None,,,16,,,,no,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond - Fancy Color,Round,0.7,,GIA,7398089869,,1,,,,no,,,,,,,,,,,,
